Date,Close,High,Low,Open,Volume
2024-07-01,197.2,198.3,192.82,193.49,41192000
2024-07-02,200.0,200.43,195.93,197.28,45600000
2024-07-03,197.59,200.03,196.76,199.94,31597900
2024-07-05,200.0,200.55,198.17,198.65,39858900
2024-07-08,199.29,201.2,197.96,200.04,34767300
2024-07-09,199.34,200.57,199.05,199.4,32700100
2024-07-10,199.79,200.11,197.69,200.0,32883800
2024-07-11,195.05,200.27,192.86,200.09,44565000
2024-07-12,194.49,196.47,193.83,194.8,30598500
2024-07-15,192.72,196.19,190.83,194.56,40683200
2024-07-16,193.02,196.62,192.24,195.59,33994700
2024-07-17,187.93,191.58,185.99,191.35,48076100
2024-07-18,183.75,189.68,181.45,189.59,51043600
2024-07-19,183.13,184.93,180.11,181.14,43081800
2024-07-22,182.55,185.06,182.48,185.0,39931900
2024-07-23,186.41,189.39,183.56,184.1,47537700
2024-07-24,180.83,185.45,180.41,183.2,41532400
2024-07-25,179.85,183.9,176.8,182.91,44464200
2024-07-26,182.5,183.19,180.24,180.39,29506000
2024-07-29,183.2,184.75,182.38,183.84,33270100
2024-07-30,181.71,185.86,179.38,184.72,39508600
2024-07-31,186.98,187.94,184.46,185.05,41667300
2024-08-01,184.07,190.6,181.87,189.29,70435600
2024-08-02,167.9,168.77,160.55,166.75,141448400
2024-08-05,161.02,162.96,151.61,154.21,83149400
2024-08-06,161.93,165.08,158.54,161.71,59950800
2024-08-07,162.77,167.58,161.43,166.55,48408200
2024-08-08,165.8,166.69,162.55,165.17,44616200
2024-08-09,166.94,168.55,165.85,166.4,36401000
2024-08-12,166.8,168.55,166.11,168.14,30072800
2024-08-13,170.23,171.04,167.1,167.81,39237900
2024-08-14,170.1,172.28,168.86,172.11,28843800
2024-08-15,177.59,177.91,173.99,174.86,51698500
2024-08-16,177.06,178.34,176.26,177.04,31489200
2024-08-19,178.22,178.3,176.16,177.64,31129800
2024-08-20,178.88,179.01,177.43,177.92,26255200
2024-08-21,180.11,182.39,178.89,179.92,35599100
2024-08-22,176.13,181.47,175.68,181.38,32047500
2024-08-23,177.04,178.97,175.24,177.34,29150100
2024-08-26,175.5,177.47,174.3,176.7,22366200
2024-08-27,173.12,174.89,172.25,174.15,29842000
2024-08-28,170.8,173.69,168.92,173.69,29045000
